id,weight,category_code,question
45,,accessibility,"Please describe the available alert services. If alert services are available, please provide a link to a relevant page maintained by the parliament that discusses or describes available alert services."
46,,accessibility,Is general information on the parliament's constitutional roles and functions available to the public?
47,,administration,Is a complete version of the parliament's internal rules available to the public?
48,,administration,"Is a general, plain-language description of the parliament's structure or organization available to the public?"
49,,accessibility,"Is a general, plain-language description of the parliament's legislative process available to the public?"
50,,plenary,Is the parliament's session calendar available to the public?
51,,plenary,"Is the parliament's order of business, including its vote schedule, available to the public?"
52,,plenary,"In general, how far in advance is the public notified of the order of business and vote schedule?"
53,,plenary,How can a member of the public observe or listen to parliamentary plenary sessions?
54,,plenary,Are verbatim plenary transcripts available to the public?
55,,plenary,Are plenary roll call voting records available to the public?
56,,plenary,How frequently does the parliament use means other than recorded roll call votes in plenary sessions?
57,,plenary,"If publicly available online, can one easily search or sort the plenary voting record so as to identify how a particular member has voted? If online, please provide a link."
58,,accessibility,"Upon being introduced or tabled, is the text of draft legislation immediately available to the public?"
59,,accessibility,"If draft legislation is made publicly available, is the status of the bill in the legislative process easily accessible?"
60,,accessibility,"Does the parliament maintain a web-based, searchable database of all enacted legislation? If yes, please provide a link."
61,,accessibility,"With the exception of reports containing classified or confidential information, are all reports requested by or submitted to the parliament typically made available to the public?"
62,,plenary,"Plenary transcripts (after plenary session) :On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
63,,plenary,"Roll call voting record (after voting concludes):On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
64,,accessibility,"Draft legislation (after legislation is introduced) :On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
65,,accessibility,"Updates on the status of legislation (after status changes):On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
66,,accessibility,"Reports requested by or submitted to parliament (after reports are submitted):On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
67,,plenary,Session calendar :Through which of the following means can information about plenary activities be accessed?
68,,plenary,Order of business:Through which of the following means can information about plenary activities be accessed?
69,,plenary,Plenary transcripts:Through which of the following means can information about plenary activities be accessed?
70,,plenary,Roll call voting record:Through which of the following means can information about plenary activities be accessed?
71,,plenary,Draft legislation:Through which of the following means can information about plenary activities be accessed?
72,,accessibility,Reports request by or submitted to parliament:Through which of the following means can information about plenary activities be accessed?
73,,plenary,Session calendar :In which of the following formats can information about plenary activities be accessed?
74,,plenary,Order of business:In which of the following formats can information about plenary activities be accessed?
75,,plenary,Plenary transcripts:In which of the following formats can information about plenary activities be accessed?
76,,plenary,Roll call voting record:In which of the following formats can information about plenary activities be accessed?
77,,accessibility,Draft legislation:In which of the following formats can information about plenary activities be accessed?
78,,accessibility,Reports request by or submitted to parliament:In which of the following formats can information about plenary activities be accessed?
79,,plenary,"Session calendar :If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
80,,plenary,"Order of business:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
81,,plenary,"Plenary transcripts:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
82,,plenary,"Roll call voting record:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
83,,accessibility,"Draft legislation:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
84,,accessibility,"Reports request by or submitted to parliament:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
85,,,"To share best practices between different parliaments and countries, participants are encouraged to make note of any best or innovative practices employed by the parliament to make information about the activities of parliament available to the public. Please provide links where relevant."
86,,committees,Is a general description of committee powers and functions available to the public?
87,,committees,"If committees have their own internal rules, is information on committee rules available to the public?"
88,,committees,"In instances where committees meet in private, is the public typically informed why the meeting was held in private?"
89,,committees,What means does the parliament provide for a member of the public to observe or listen to public committee meetings?
90,,committees,Is the committee schedule available to the public?
91,,committees,"If available, how far in advance is the public notified of committee schedule?"
92,,committees,Are committee meeting agendas available to the public?
93,,committees,"If available, how far in advance is the public provided with committee meeting agendas?"
94,,committees,Are verbatim committee transcripts available to the public?
95,,committees,Is witness testimony at committee hearings available to the public?
96,,committees,Are committee voting records available to the public?
97,,committees,"With the exception of classified information, is evidence submitted to committees generally available to the public?"
98,,committees,Are committee reports available to the public?
99,,committees,Are complete versions of committee resolutions available to the public?
100,,committees,"Committee schedule (after schedule is set) :On average, how soon after a given action has taken place is the public notified and provided with the information listed below?"
101,,committees,"Committee transcripts (after transcripts are recorded) :On average, how soon after a given action has taken place is the public notified and provided with the information listed below?"
102,,committees,"Witness testimony (after testimony is submitted):On average, how soon after a given action has taken place is the public notified and provided with the information listed below?"
103,,committees,"Committee voting record (after votes are recorded):On average, how soon after a given action has taken place is the public notified and provided with the information listed below?"
104,,committees,"Evidence submitted to committee (after evidence is submitted) :On average, how soon after a given action has taken place is the public notified and provided with the information listed below?"
105,,committees,"Committee reports (after reports are submitted):On average, how soon after a given action has taken place is the public notified and provided with the information listed below?"
106,,committees,"Committee resolutions (after resolution is introduced):On average, how soon after a given action has taken place is the public notified and provided with the information listed below?"
107,,committees,Committee functions and rules:Through which of the following means can information on parliamentary committees be accessed by the public?
108,,committees,Committee schedule:Through which of the following means can information on parliamentary committees be accessed by the public?
109,,committees,Committee transcripts:Through which of the following means can information on parliamentary committees be accessed by the public?
110,,committees,Witness testimony:Through which of the following means can information on parliamentary committees be accessed by the public?
111,,committees,Committee voting records:Through which of the following means can information on parliamentary committees be accessed by the public?
112,,committees,Evidence submitted to committee :Through which of the following means can information on parliamentary committees be accessed by the public?
113,,committees,Committee reports :Through which of the following means can information on parliamentary committees be accessed by the public?
114,,committees,Committee resolutions:Through which of the following means can information on parliamentary committees be accessed by the public?
115,,committees,Committee functions and rules:In which of the following formats can information on parliamentary committees be accessed by the public?
116,,committees,Committee schedule:In which of the following formats can information on parliamentary committees be accessed by the public?
117,,committees,Committee transcripts:In which of the following formats can information on parliamentary committees be accessed by the public?
118,,committees,Witness testimony:In which of the following formats can information on parliamentary committees be accessed by the public?
119,,committees,Committee voting records:In which of the following formats can information on parliamentary committees be accessed by the public?
120,,committees,Evidence submitted to committee :In which of the following formats can information on parliamentary committees be accessed by the public?
121,,committees,Committee reports:In which of the following formats can information on parliamentary committees be accessed by the public?
122,,committees,Committee resolutions:In which of the following formats can information on parliamentary committees be accessed by the public?
123,,committees,"Committee functions and rules:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
124,,committees,"Committee schedule:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
125,,committees,"Committee transcripts:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
126,,committees,"Witness testimony:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
127,,committees,"Committee voting records:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
128,,committees,"Evidence submitted to committee:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
129,,committees,"Committee reports :If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
130,,committees,"Committee resolutions:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
131,,,"To share best practices between different parliaments and countries, participants are encouraged to make note of any best or innovative practices employed by the parliament to make information about committees available to the public. Please provide links where relevant."
132,,mps,Is information on members' roles and committee memberships available to the public?
133,,mps,"In countries with either single- or multi-member districts, is basic social and economic information on all districts available to the public?"
134,,mps,Is information on any party affiliation of members of parliament available to the public?
135,,mps,"Is contact information for members of parliament, including for any district and capital offices they maintain, available to the public?"
136,,mps,Is an individual member of parliament's attendance record for plenary sessions available to the public?
137,,mps,Is an individual member of parliament's attendance record for committee meetings available to the public?
138,,mps,Is information on an individual member of parliament's expenses available to the public?
139,,mps,Is there a constituency development fund that provides members of parliament with a role in allocating funds for development projects in their district?
140,,mps,"Is information on the use of constituency development funds, including the total amount allocated for the fund and how the money has been spent for each constituency, available to the public?"
141,,ethics,Is there a publicly available registry that lists active lobbyists or pressure groups and that provides basic information on their activities?
142,,mps,"Are members required to disclose information on their meetings with lobbyists, including the name of the lobbyists and the issues discussed?"
143,,mps,"If members are required to disclose information on their meetings with lobbyists, is this information available to the public?"
144,,mps,Is information regarding a member of parliament's assets and interests available to the public?
145,,mps,Is information regarding a member of parliament’s involvement on corporate boards available to the public?
146,,ethics,"Once completed, are the results of internal parliamentary investigations into conflicts of interest or ethics violations available to the public?"
147,,mps,Plenary attendance record:Through which of the following means can information on members of parliament be accessed by the public?
148,,mps,Committee attendance record:Through which of the following means can information on members of parliament be accessed by the public?
149,,mps,Expenses:Through which of the following means can information on members of parliament be accessed by the public?
150,,mps,Constituency development funds:Through which of the following means can information on members of parliament be accessed by the public?
151,,mps,Interactions with lobbyists and pressure groups:Through which of the following means can information on members of parliament be accessed by the public?
152,,mps,Assets and interests:Through which of the following means can information on members of parliament be accessed by the public?
153,,ethics,Results of investigations :Through which of the following means can information on members of parliament be accessed by the public?
154,,mps,Plenary attendance record:Through which of the following formats can information on members of parliament be accessed by the public?
155,,mps,Committee attendance record:Through which of the following formats can information on members of parliament be accessed by the public?
156,,mps,Expenses:Through which of the following formats can information on members of parliament be accessed by the public?
157,,mps,Constituency development funds:Through which of the following formats can information on members of parliament be accessed by the public?
158,,mps,Interactions with lobbyists and pressure groups:Through which of the following formats can information on members of parliament be accessed by the public?
159,,mps,Assets and interests:Through which of the following formats can information on members of parliament be accessed by the public?
160,,ethics,Results of investigations :Through which of the following formats can information on members of parliament be accessed by the public?
161,,mps,"Plenary attendance record:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below available?"
162,,mps,"Committee attendance record :If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below available?"
163,,mps,"Expenses :If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below available?"
164,,mps,"Constituency development funds:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below available?"
165,,mps,"Interactions with lobbyists and pressure groups:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below available?"
166,,mps,"Assets and interests:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below available?"
167,,ethics,"Results of investigations:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below available?"
168,,,"To share best practices between different parliaments and countries, participants are encouraged to make note of any best or innovative practices employed by the parliament to make information about MPs or political parties available to the public. Please provide links where relevant."
169,,administration,Is the parliament's budget available to the public?
170,,administration,Is information about parliamentary expenditures available to the public?
171,,administration,Is information about parliamentary contracts available to the public?
172,,administration,Is information about bids to provide services to the parliament available to the public?
173,,administration,Is information on the roles and structure of parliament's administrative offices available to the public?
174,,administration,Is contact information for senior administrative staff available to the public?
175,,,"To share best practices between different parliaments and countries, participants are encouraged to make note of any best or innovative practices employed by the parliament to make information about parliament's administration and budget available to the public. Please provide links where relevant."
