data/law/2408/2408_1.pdf AND http://knesset.gov.il/laws/heb/template.asp?Type=1,data/law/2408/2408_1.pdf AND http://knesset.gov.il/laws/heb/template.asp?Type=1
"Deliberation generally in private, evidence hearings generally in public","Deliberation generally in private, evidence hearings generally in public"
Depends on the committee and the circumstances.  Often meetings are arranged at short notice in response to developments in the news,Depends on the committee and the circumstances.  Often meetings are arranged at short notice in response to developments in the news
"developing and publishing individual voting records is in progress. however, overall statistical data on MPs activity is available; ex: https://infodok.sabor.hr/report.aspx?Format=HTML&VrstaReporta=ZastAkt&saz_id=19&sje_min_id=2163&sje_max_id=2164&sub_id=826","developing and publishing individual voting records is in progress. however, overall statistical data on MPs activity is available; ex: https://infodok.sabor.hr/report.aspx?Format=HTML&VrstaReporta=ZastAkt&saz_id=19&sje_min_id=2163&sje_max_id=2164&sub_id=826"
differently for each committee. some of them don't even have a website,differently for each committee. some of them don't even have a website
Directorio Telefónico del personal adminstrativo http://www.congreso.gob.gt/administracion.php,Directorio Telefónico del personal adminstrativo http://www.congreso.gob.gt/administracion.php
Does parliament have offices outside the capital where citizens can access parliamentary information?,Does parliament have offices outside the capital where citizens can access parliamentary information?
"Does the parliament have a public website? If yes, please provide a link.","Does the parliament have a public website? If yes, please provide a link."
Does the parliament have a website?,Does the parliament have a website?
Does the parliament have an open data policy?,Does the parliament have an open data policy?
Does the parliament have transparency policies or guidelines?,Does the parliament have transparency policies or guidelines?
"Does the parliament maintain a web-based, searchable database of all enacted legislation?","Does the parliament maintain a web-based, searchable database of all enacted legislation?"
"Does the parliament maintain offices outside the capital where citizens can access accurate, up-to-date parliamentary information?","Does the parliament maintain offices outside the capital where citizens can access accurate, up-to-date parliamentary information?"
Does the parliament officially require payment in exchange for access to certain parliamentary information?,Does the parliament officially require payment in exchange for access to certain parliamentary information?
Does the parliament provide plain language summaries of legislative information?,Does the parliament provide plain language summaries of legislative information?
Does the parliament provide publicly available alert services?,Does the parliament provide publicly available alert services?
Does the parliament require payment for access to certain information?,Does the parliament require payment for access to certain information?
Does the parliament's website have a publicly posted privacy policy?,Does the parliament's website have a publicly posted privacy policy?
"Does the parliamentary website have a publicly available privacy policy that allows website users to know what personal information is being collected and how that information is being used? If yes, please provide a link.","Does the parliamentary website have a publicly available privacy policy that allows website users to know what personal information is being collected and how that information is being used? If yes, please provide a link."
Draft bills,Draft bills
Draft Code of Ethics envisages that the results of internal parliamentary investigations are public.,Draft Code of Ethics envisages that the results of internal parliamentary investigations are public.
e.g: http://192.185.34.202/~skupcg/skupstina/cms/site_data/DOC25/ZAKONI%20I%20IZVJESTAJI/477/477_0.pdf,e.g: http://192.185.34.202/~skupcg/skupstina/cms/site_data/DOC25/ZAKONI%20I%20IZVJESTAJI/477/477_0.pdf
e.g: http://192.185.34.202/~skupcg/skupstina/cms/site_data/LISTING%20GLASANJA/2014/Druga%20sjednica%20prvog%20redovnog12_03_2014_/FISKALNOJ.pdf,e.g: http://192.185.34.202/~skupcg/skupstina/cms/site_data/LISTING%20GLASANJA/2014/Druga%20sjednica%20prvog%20redovnog12_03_2014_/FISKALNOJ.pdf
e.g: http://www.skupstina.me/~skupcg/skupstina//cms/site_data/PRVA%20SJEDNICA-Prestanak%20vazenja%20Odluke.pdf,e.g: http://www.skupstina.me/~skupcg/skupstina//cms/site_data/PRVA%20SJEDNICA-Prestanak%20vazenja%20Odluke.pdf
e.g: http://www.skupstina.me/~skupcg/skupstina/cms/site_data/25%20saziv%20ODBORI/EKONOMIJA%20FINANSIJE%20/izvje%C5%A1taj1%20-%2049_%20sjednica.pdf,e.g: http://www.skupstina.me/~skupcg/skupstina/cms/site_data/25%20saziv%20ODBORI/EKONOMIJA%20FINANSIJE%20/izvje%C5%A1taj1%20-%2049_%20sjednica.pdf
e.g: http://www.skupstina.me/index.php/me/odbor-za-evropske-integracije/sjednice,e.g: http://www.skupstina.me/index.php/me/odbor-za-evropske-integracije/sjednice
e.g: http://www.skupstina.me/index.php/me/sjednice/sjednice-skupstine,e.g: http://www.skupstina.me/index.php/me/sjednice/sjednice-skupstine
"e.g:http://www.skupstina.me/index.php/me/sjednice/sjednice-skupstine, http://192.185.34.202/~skupcg/skupstina/cms/site_data/DOC25/ZAKONI%20I%20IZVJESTAJI/260/260_0.pdf","e.g:http://www.skupstina.me/index.php/me/sjednice/sjednice-skupstine, http://192.185.34.202/~skupcg/skupstina/cms/site_data/DOC25/ZAKONI%20I%20IZVJESTAJI/260/260_0.pdf"
e.g. http://web.eduskunta.fi/Resource.phx/valiokunnat/valiokunta-siv01/index.htx?url=/plaza/toimielimet/muut/zvkseuraavakokous_siv01_su.html&te=siv01&lng=fi,e.g. http://web.eduskunta.fi/Resource.phx/valiokunnat/valiokunta-siv01/index.htx?url=/plaza/toimielimet/muut/zvkseuraavakokous_siv01_su.html&te=siv01&lng=fi
e.g. http://www.eduskunta.fi/triphome/bin/hex5000.sh?hnro=605&kieli=su,e.g. http://www.eduskunta.fi/triphome/bin/hex5000.sh?hnro=605&kieli=su
E.g. http://www.eduskunta.fi/triphome/bin/hkx3000.sh?haku=selaus&YKSIKKO=kk&org=2,E.g. http://www.eduskunta.fi/triphome/bin/hkx3000.sh?haku=selaus&YKSIKKO=kk&org=2
e.g. https://www.bundestag.de/bundestag/ausschuesse18/a11/beschlussempfehlung_und_bericht/beschlussempfehlung_und_bericht/214622,e.g. https://www.bundestag.de/bundestag/ausschuesse18/a11/beschlussempfehlung_und_bericht/beschlussempfehlung_und_bericht/214622
El Salvador,El Salvador
Election results,Election results
Email,Email
END,END
erratic,erratic
Estonia,Estonia
ethc committees resolutions are availabe on the knesset website,ethc committees resolutions are availabe on the knesset website
Ethics,Ethics
Eurointegration council rules on proceeding are available. Working bodies are not (for those that have ones).,Eurointegration council rules on proceeding are available. Working bodies are not (for those that have ones).
Example of how votes are shown: http://www.eduskunta.fi/triphome/bin/thw.cgi/trip/?${APPL}=aanestysu&${BASE}=aanestysu&${THWIDS}=0.28/1409995048_361694&${oohtml}=aax/hex5000&${html}=aax/aax5000&${snhtml}=aax/aaxnosyn&${savehtml}=/thwfakta/aanestys/aax/aax.htm,Example of how votes are shown: http://www.eduskunta.fi/triphome/bin/thw.cgi/trip/?${APPL}=aanestysu&${BASE}=aanestysu&${THWIDS}=0.28/1409995048_361694&${oohtml}=aax/hex5000&${html}=aax/aax5000&${snhtml}=aax/aaxnosyn&${savehtml}=/thwfakta/aanestys/aax/aax.htm
Excel or CSV,Excel or CSV
Financial Reports - presented each four months http://www.congreso.gob.gt/informacion-presupuestaria.php,Financial Reports - presented each four months http://www.congreso.gob.gt/informacion-presupuestaria.php
"First or second reading phase can be easy identified, or at plenary session agenda.","First or second reading phase can be easy identified, or at plenary session agenda."
for example http://www.knesset.gov.il/mk/heb/mk.asp?ID=1,for example http://www.knesset.gov.il/mk/heb/mk.asp?ID=1
General Secretary Office,General Secretary Office
Germany,Germany
Ghana,Ghana
Greece,Greece
Guatemala,Guatemala
How can sessions be observed?,How can sessions be observed?
How can the information be accessed?,How can the information be accessed?
How can the public observe committee meetings?,How can the public observe committee meetings?
How far in advance is the committee schedule available?,How far in advance is the committee schedule available?
How frequently does the parliament update its website?,How frequently does the parliament update its website?
How in advance is the committee meeting agenda available?,How in advance is the committee meeting agenda available?
How much historical information is available?,How much historical information is available?
How soon after a meeting are transcripts available?,How soon after a meeting are transcripts available?
How soon after a resolution has passed is its text available?,How soon after a resolution has passed is its text available?
How soon after a session are transcripts published?,How soon after a session are transcripts published?
How soon after a session are voting records published?,How soon after a session are voting records published?
How soon after a vote are records available?,How soon after a vote are records available?
How soon after an action is bill status information published?,How soon after an action is bill status information published?
How soon after being presented are parliamentary reports published?,How soon after being presented are parliamentary reports published?
How soon after being submitted or presented is evidence available?,How soon after being submitted or presented is evidence available?
How soon after being tabled is draft legislation published?,How soon after being tabled is draft legislation published?
HTML,HTML
http://192.185.34.202/~skupcg/skupstina/cms/site_data/LISTING%20GLASANJA/2014/Deseta%20%C5%9Bednica16_07_2014_/PREDLOG%20ZAKONA%20O%20PREVOZU%20OPASNIH%20MATERIJA_SVE.pdf,http://192.185.34.202/~skupcg/skupstina/cms/site_data/LISTING%20GLASANJA/2014/Deseta%20%C5%9Bednica16_07_2014_/PREDLOG%20ZAKONA%20O%20PREVOZU%20OPASNIH%20MATERIJA_SVE.pdf
http://congreso.gob.gt/ley-de-acceso-a-la-informacion-publica.php,http://congreso.gob.gt/ley-de-acceso-a-la-informacion-publica.php
http://data.camera.it/data/en/,http://data.camera.it/data/en/
http://diafaneia.hellenicparliament.gr/,http://diafaneia.hellenicparliament.gr/
http://dipbt.bundestag.de/dip21.web/bt,http://dipbt.bundestag.de/dip21.web/bt
http://documenti.camera.it/votazioni/votazionitutte/FormVotazioni.Asp?Legislatura=XVII,http://documenti.camera.it/votazioni/votazionitutte/FormVotazioni.Asp?Legislatura=XVII
http://eduskunta.fi,http://eduskunta.fi
http://gapp.rada.gov.ua/declview/Home/Main/15669/2013,http://gapp.rada.gov.ua/declview/Home/Main/15669/2013
http://gapp.rada.gov.ua/mps/info/page/15669,http://gapp.rada.gov.ua/mps/info/page/15669
http://iportal.rada.gov.ua/meeting/awt,http://iportal.rada.gov.ua/meeting/awt
http://iportal.rada.gov.ua/meeting/stenogr,http://iportal.rada.gov.ua/meeting/stenogr
http://iportal.rada.gov.ua/video/rada-tv/64430.html,http://iportal.rada.gov.ua/video/rada-tv/64430.html
http://itv.sabor.hr/video/,http://itv.sabor.hr/video/
http://knesset.gov.il/description/eng/eng_work_mel2.htm,http://knesset.gov.il/description/eng/eng_work_mel2.htm
http://knesset.gov.il/description/eng/eng_work_org.htm,http://knesset.gov.il/description/eng/eng_work_org.htm
http://knesset.gov.il/main/eng/home.asp,http://knesset.gov.il/main/eng/home.asp
http://knesset.gov.il/rules/eng/contents.htm,http://knesset.gov.il/rules/eng/contents.htm
http://knesset.gov.il/rules/eng/contents.htm http://main.knesset.gov.il/Activity/Documents/RulesOfProcedure.pdf,http://knesset.gov.il/rules/eng/contents.htm http://main.knesset.gov.il/Activity/Documents/RulesOfProcedure.pdf
http://knesset.gov.il/rules/eng/contents.htm the rules of the committees are part of the rules and procedures of the parliament.,http://knesset.gov.il/rules/eng/contents.htm the rules of the committees are part of the rules and procedures of the parliament.
http://kno.rada.gov.ua/komosviti/control/uk/publish/article?art_id=45059&cat_id=44826,http://kno.rada.gov.ua/komosviti/control/uk/publish/article?art_id=45059&cat_id=44826
http://kno.rada.gov.ua/komosviti/control/uk/publish/article?art_id=62906&cat_id=62702,http://kno.rada.gov.ua/komosviti/control/uk/publish/article?art_id=62906&cat_id=62702
http://korea.assembly.go.kr,http://korea.assembly.go.kr
http://korea.assembly.go.kr/,http://korea.assembly.go.kr/
http://korea.assembly.go.kr/privacy/privacyPolicy.jsp,http://korea.assembly.go.kr/privacy/privacyPolicy.jsp
http://likms.assembly.go.kr/bill/jsp/BillDetail.jsp?bill_id=PRC_A1Z4Z0T2V2N7T0R0Y1O5Z4A3U6R4O2,http://likms.assembly.go.kr/bill/jsp/BillDetail.jsp?bill_id=PRC_A1Z4Z0T2V2N7T0R0Y1O5Z4A3U6R4O2
http://likms.assembly.go.kr/bill/jsp/LatestPassedBill.jsp,http://likms.assembly.go.kr/bill/jsp/LatestPassedBill.jsp
http://main.knesset.gov.il/About/Departments/Pages/default.aspx,http://main.knesset.gov.il/About/Departments/Pages/default.aspx
http://main.knesset.gov.il/Activity/Committees/Economics/Pages/CommiitteeReports.aspx for example. the reports are on each committee website.,http://main.knesset.gov.il/Activity/Committees/Economics/Pages/CommiitteeReports.aspx for example. the reports are on each committee website.
http://main.knesset.gov.il/Activity/Committees/Economics/Pages/Conclusions.aspx  http://main.knesset.gov.il/Activity/committees/Education/Pages/Decisions.aspx,http://main.knesset.gov.il/Activity/Committees/Economics/Pages/Conclusions.aspx  http://main.knesset.gov.il/Activity/committees/Education/Pages/Decisions.aspx
http://main.knesset.gov.il/Activity/committees/Pages/default.aspx,http://main.knesset.gov.il/Activity/committees/Pages/default.aspx
http://main.knesset.gov.il/Activity/plenum/Pages/DivreyHaknessetMenu.aspx,http://main.knesset.gov.il/Activity/plenum/Pages/DivreyHaknessetMenu.aspx
http://narodne-novine.nn.hr/clanci/sluzbeni/2013_02_25_403.html,http://narodne-novine.nn.hr/clanci/sluzbeni/2013_02_25_403.html
http://oireachtasdebates.oireachtas.ie,http://oireachtasdebates.oireachtas.ie
http://oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/yearlist?readform&chamber=committees,http://oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/yearlist?readform&chamber=committees
http://old.congreso.gob.gt/Legislacion/decretos.asp,http://old.congreso.gob.gt/Legislacion/decretos.asp
http://online.knesset.gov.il/eprotocol/PUBLIC/SearchPEOnline.aspx,http://online.knesset.gov.il/eprotocol/PUBLIC/SearchPEOnline.aspx
http://parlament.hu/kozvetites,http://parlament.hu/kozvetites
http://parlament.hu/videoarchivum,http://parlament.hu/videoarchivum
http://parliamentarystandards.org.uk/Pages/default.aspx,http://parliamentarystandards.org.uk/Pages/default.aspx
http://parltv.live.grnet.gr/webtv/,http://parltv.live.grnet.gr/webtv/
http://ppid.dpr.go.id/index/statik/id/5,http://ppid.dpr.go.id/index/statik/id/5
http://rada.gov.ua/,http://rada.gov.ua/
http://rtmparlimen.rtm.gov.my,http://rtmparlimen.rtm.gov.my
http://rtmparlimen.rtm.gov.my/,http://rtmparlimen.rtm.gov.my/
http://services.parliament.uk/calendar/,http://services.parliament.uk/calendar/
http://services.parliament.uk/calendar/Commons/MainChamber/2014/10/13/events.html; see also http://www.parliament.uk/business/publications/business-papers/commons/future-business/#session=26&year=2014&month=8&day=26,http://services.parliament.uk/calendar/Commons/MainChamber/2014/10/13/events.html; see also http://www.parliament.uk/business/publications/business-papers/commons/future-business/#session=26&year=2014&month=8&day=26
http://skupstina.me,http://skupstina.me
http://skupstina.me/~skupcg/skupstina/cms/site_data/DOC25/ZAKONI%20I%20IZVJESTAJI/524/524_2.PDF,http://skupstina.me/~skupcg/skupstina/cms/site_data/DOC25/ZAKONI%20I%20IZVJESTAJI/524/524_2.PDF
http://skupstina.me/images/documents/rules_of_procedure_00-63-2.pdf,http://skupstina.me/images/documents/rules_of_procedure_00-63-2.pdf
http://skupstina.me/images/dokumenti/pregled_stavki_po_ekonomskoj_klasifikaciji.pdf,http://skupstina.me/images/dokumenti/pregled_stavki_po_ekonomskoj_klasifikaciji.pdf
http://skupstina.me/index.php/en/,http://skupstina.me/index.php/en/
http://skupstina.me/index.php/en/component/gcalendar/gcalendar?gcids=4#year=2014&month=9&day=15&view=agendaDay,http://skupstina.me/index.php/en/component/gcalendar/gcalendar?gcids=4#year=2014&month=9&day=15&view=agendaDay
http://skupstina.me/index.php/en/gradjani/finansije,http://skupstina.me/index.php/en/gradjani/finansije
http://skupstina.me/index.php/en/gradjani/javne-nabavke/ugovori,http://skupstina.me/index.php/en/gradjani/javne-nabavke/ugovori
http://skupstina.me/index.php/en/online-streaming,http://skupstina.me/index.php/en/online-streaming
http://skupstina.me/index.php/en/sjednice/sjednice-skupstine,http://skupstina.me/index.php/en/sjednice/sjednice-skupstine
http://skupstina.me/index.php/en/sjednice/zakoni-i-drugi-akti,http://skupstina.me/index.php/en/sjednice/zakoni-i-drugi-akti
http://skupstina.me/index.php/en/skupstina/generalni-sekretar/kancelarija-generalnog-sekretara,http://skupstina.me/index.php/en/skupstina/generalni-sekretar/kancelarija-generalnog-sekretara
http://skupstina.me/index.php/en/skupstina/o-nama/nadleznosti,http://skupstina.me/index.php/en/skupstina/o-nama/nadleznosti
http://skupstina.me/index.php/en/skupstina/poslanice-i-poslanici/parlamentarne-partije/30-skupstina/poslanice-i-poslanici/parlamentarne-partije/socijaldemokratska-partija-crne-gore/112-mico-orlandic,http://skupstina.me/index.php/en/skupstina/poslanice-i-poslanici/parlamentarne-partije/30-skupstina/poslanice-i-poslanici/parlamentarne-partije/socijaldemokratska-partija-crne-gore/112-mico-orlandic
http://skupstina.me/index.php/en/skupstina/sluzba-skupstine/o-sluzbi,http://skupstina.me/index.php/en/skupstina/sluzba-skupstine/o-sluzbi
http://skupstina.me/index.php/en/zakonodavni-odbor/o-radnom-tijelu,http://skupstina.me/index.php/en/zakonodavni-odbor/o-radnom-tijelu
http://skupstina.me/index.php/en/zakonodavni-odbor/sastav,http://skupstina.me/index.php/en/zakonodavni-odbor/sastav
http://skupstina.me/index.php/en/zakonodavni-odbor/sjednice,http://skupstina.me/index.php/en/zakonodavni-odbor/sjednice
http://slvesnik.com.mk/,http://slvesnik.com.mk/
http://static.rada.gov.ua/zakon/new/WR/index.htm,http://static.rada.gov.ua/zakon/new/WR/index.htm
http://stats.congreso.gob.gt/hemiciclo/graphs/v_container.asp,http://stats.congreso.gob.gt/hemiciclo/graphs/v_container.asp
http://stats.congreso.gob.gt/hemiciclo/graphs/x_diputado.asp,http://stats.congreso.gob.gt/hemiciclo/graphs/x_diputado.asp
http://tweedekamer.nl/over_de_tweede_kamer/organogram/stafdienst_personeel_en_organisatie,http://tweedekamer.nl/over_de_tweede_kamer/organogram/stafdienst_personeel_en_organisatie
http://verkkolahetys.eduskunta.fi/,http://verkkolahetys.eduskunta.fi/
