5,Female,How do you identify?
20,Yes,"In general, is parliamentary information openly licensed to allow for free reuse and redistribution?"
20,Other,"In general, is parliamentary information openly licensed to allow for free reuse and redistribution?"
20,No,"In general, is parliamentary information openly licensed to allow for free reuse and redistribution?"
22,Yes,Does the parliament officially require payment in exchange for access to certain parliamentary information?
22,Other,Does the parliament officially require payment in exchange for access to certain parliamentary information?
22,No,Does the parliament officially require payment in exchange for access to certain parliamentary information?
24,Yes,"Does the parliament have a public website? If yes, please provide a link."
24,Other,"Does the parliament have a public website? If yes, please provide a link."
25,Less than monthly,How frequently does the parliament update its website?
25,Close to real-time,How frequently does the parliament update its website?
25,Monthly,How frequently does the parliament update its website?
25,Daily,How frequently does the parliament update its website?
25,Weekly,How frequently does the parliament update its website?
25,Other,How frequently does the parliament update its website?
25,Multiple times daily ,How frequently does the parliament update its website?
26,Yes,"In general, does the parliamentary website use stable URLs?"
26,Other,"In general, does the parliamentary website use stable URLs?"
26,No,"In general, does the parliamentary website use stable URLs?"
27,Simple search,How can an individual search for information on the parliament's website?
27,Complex search,How can an individual search for information on the parliament's website?
27,Other,How can an individual search for information on the parliament's website?
27,No search options available,How can an individual search for information on the parliament's website?
28,Yes,"To provide context to legislative information, does the parliament link information to other relevant datasets or information?"
28,Other,"To provide context to legislative information, does the parliament link information to other relevant datasets or information?"
28,No,"To provide context to legislative information, does the parliament link information to other relevant datasets or information?"
30,Yes,"Does the parliament maintain offices outside the capital where citizens can access accurate, up-to-date parliamentary information?"
30,Other,"Does the parliament maintain offices outside the capital where citizens can access accurate, up-to-date parliamentary information?"
30,No,"Does the parliament maintain offices outside the capital where citizens can access accurate, up-to-date parliamentary information?"
32,Other,"In instances where there are multiple working or national languages, does the parliament provide simultaneous interpretation of parliamentary proceedings? Please check all that apply."
32,"Yes, those observing via radio, television, internet, or other service are provided with interpretation","In instances where there are multiple working or national languages, does the parliament provide simultaneous interpretation of parliamentary proceedings? Please check all that apply."
32,"Yes, in person observers at the parliament are provided with interpretation","In instances where there are multiple working or national languages, does the parliament provide simultaneous interpretation of parliamentary proceedings? Please check all that apply."
32,No,"In instances where there are multiple working or national languages, does the parliament provide simultaneous interpretation of parliamentary proceedings? Please check all that apply."
33,Other,"In instances where there are multiple working or national languages, does the parliament generally make documents available in all working languages?"
33,"Yes, with minimal delays to allow for translation (typically less than 24 hours)","In instances where there are multiple working or national languages, does the parliament generally make documents available in all working languages?"
33,"Yes, eventually","In instances where there are multiple working or national languages, does the parliament generally make documents available in all working languages?"
33,"Yes, with all languages made available in near real time","In instances where there are multiple working or national languages, does the parliament generally make documents available in all working languages?"
33,"No, records are made available only in the original language","In instances where there are multiple working or national languages, does the parliament generally make documents available in all working languages?"
34,Plenary voting records,What types of parliamentary information does the parliament make available in all official languages?
34,Election results,What types of parliamentary information does the parliament make available in all official languages?
34,Committee transcripts ,What types of parliamentary information does the parliament make available in all official languages?
34,Order of business,What types of parliamentary information does the parliament make available in all official languages?
34,Committee agendas,What types of parliamentary information does the parliament make available in all official languages?
34,Plenary transcripts,What types of parliamentary information does the parliament make available in all official languages?
34,Session calendars,What types of parliamentary information does the parliament make available in all official languages?
34,Draft bills,What types of parliamentary information does the parliament make available in all official languages?
34,Other,What types of parliamentary information does the parliament make available in all official languages?
34,Committee voting records,What types of parliamentary information does the parliament make available in all official languages?
34,Committee membership,What types of parliamentary information does the parliament make available in all official languages?
34,Legislation,What types of parliamentary information does the parliament make available in all official languages?
34,None of the above,What types of parliamentary information does the parliament make available in all official languages?
35,Parliamentary roles and functions,Does the parliament regularly provide plain language summaries of any of the below types of information to help explain complex texts to citizens?
35,Summaries of enacted legislation,Does the parliament regularly provide plain language summaries of any of the below types of information to help explain complex texts to citizens?
35,Parliamentary rules of procedure,Does the parliament regularly provide plain language summaries of any of the below types of information to help explain complex texts to citizens?
35,None of the above,Does the parliament regularly provide plain language summaries of any of the below types of information to help explain complex texts to citizens?
35,Summaries of tabled bills,Does the parliament regularly provide plain language summaries of any of the below types of information to help explain complex texts to citizens?
35,Other,Does the parliament regularly provide plain language summaries of any of the below types of information to help explain complex texts to citizens?
35,Committee information,Does the parliament regularly provide plain language summaries of any of the below types of information to help explain complex texts to citizens?
35,Contextual information or reports,Does the parliament regularly provide plain language summaries of any of the below types of information to help explain complex texts to citizens?
37,Yes,"Does the parliamentary website have a publicly available privacy policy that allows website users to know what personal information is being collected and how that information is being used? If yes, please provide a link."
37,Other,"Does the parliamentary website have a publicly available privacy policy that allows website users to know what personal information is being collected and how that information is being used? If yes, please provide a link."
37,No,"Does the parliamentary website have a publicly available privacy policy that allows website users to know what personal information is being collected and how that information is being used? If yes, please provide a link."
38,"Yes, using SMS or mobile technology","Does parliament offer publicly available alert services to proactively inform citizens about parliamentary activities? If yes, what technologies are used?"
38,Other,"Does parliament offer publicly available alert services to proactively inform citizens about parliamentary activities? If yes, what technologies are used?"
38,No,"Does parliament offer publicly available alert services to proactively inform citizens about parliamentary activities? If yes, what technologies are used?"
38,"Yes, using email","Does parliament offer publicly available alert services to proactively inform citizens about parliamentary activities? If yes, what technologies are used?"
38,"Yes, using RSS","Does parliament offer publicly available alert services to proactively inform citizens about parliamentary activities? If yes, what technologies are used?"
39,RSS,"Plenary activity :If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
39,Other,"Plenary activity :If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
39,SMS or mobile technology,"Plenary activity :If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
39,Email,"Plenary activity :If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
39,Not available,"Plenary activity :If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
40,RSS,"Committee activity:If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
40,Other,"Committee activity:If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
40,SMS or mobile technology,"Committee activity:If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
40,Email,"Committee activity:If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
40,Not available,"Committee activity:If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
41,RSS,"Introduction of bills:If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
41,Other,"Introduction of bills:If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
41,SMS or mobile technology,"Introduction of bills:If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
41,Email,"Introduction of bills:If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
41,Not available,"Introduction of bills:If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
42,RSS,"Changes to bills:If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
42,Other,"Changes to bills:If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
42,SMS or mobile technology,"Changes to bills:If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
42,Email,"Changes to bills:If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
42,Not available,"Changes to bills:If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
43,RSS,"Passage of legislation:If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
43,Other,"Passage of legislation:If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
43,SMS or mobile technology,"Passage of legislation:If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
43,Email,"Passage of legislation:If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
43,Not available,"Passage of legislation:If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
44,RSS,"Votes:If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
44,Other,"Votes:If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
44,SMS or mobile technology,"Votes:If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
44,Email,"Votes:If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
44,Not available,"Votes:If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
46,Other,Is general information on the parliament's constitutional roles and functions available to the public?
46,"Yes, online",Is general information on the parliament's constitutional roles and functions available to the public?
46,"Yes, offline",Is general information on the parliament's constitutional roles and functions available to the public?
46,No,Is general information on the parliament's constitutional roles and functions available to the public?
47,Other,Is a complete version of the parliament's internal rules available to the public?
47,"Yes, online",Is a complete version of the parliament's internal rules available to the public?
47,"Yes, offline",Is a complete version of the parliament's internal rules available to the public?
47,No,Is a complete version of the parliament's internal rules available to the public?
48,Other,"Is a general, plain-language description of the parliament's structure or organization available to the public?"
48,"Yes, online","Is a general, plain-language description of the parliament's structure or organization available to the public?"
48,"Yes, offline","Is a general, plain-language description of the parliament's structure or organization available to the public?"
48,No,"Is a general, plain-language description of the parliament's structure or organization available to the public?"
49,Other,"Is a general, plain-language description of the parliament's legislative process available to the public?"
49,"Yes, online","Is a general, plain-language description of the parliament's legislative process available to the public?"
49,"Yes, offline","Is a general, plain-language description of the parliament's legislative process available to the public?"
49,No,"Is a general, plain-language description of the parliament's legislative process available to the public?"
50,Other,Is the parliament's session calendar available to the public?
50,"Yes, online",Is the parliament's session calendar available to the public?
50,"Yes, offline",Is the parliament's session calendar available to the public?
50,No,Is the parliament's session calendar available to the public?
51,Other,"Is the parliament's order of business, including its vote schedule, available to the public?"
51,"Yes, online","Is the parliament's order of business, including its vote schedule, available to the public?"
51,"Yes, offline","Is the parliament's order of business, including its vote schedule, available to the public?"
51,No,"Is the parliament's order of business, including its vote schedule, available to the public?"
52,1-3 days,"In general, how far in advance is the public notified of the order of business and vote schedule?"
52,4-6 days,"In general, how far in advance is the public notified of the order of business and vote schedule?"
52,1-2 weeks,"In general, how far in advance is the public notified of the order of business and vote schedule?"
52,Order of business and vote schedule are not made public,"In general, how far in advance is the public notified of the order of business and vote schedule?"
52,Other,"In general, how far in advance is the public notified of the order of business and vote schedule?"
52,Less than 24 hours,"In general, how far in advance is the public notified of the order of business and vote schedule?"
53,Live radio broadcast,How can a member of the public observe or listen to parliamentary plenary sessions?
53,In-person at the parliament,How can a member of the public observe or listen to parliamentary plenary sessions?
53,Live television,How can a member of the public observe or listen to parliamentary plenary sessions?
53,On demand archival streaming,How can a member of the public observe or listen to parliamentary plenary sessions?
53,Other,How can a member of the public observe or listen to parliamentary plenary sessions?
53,Plenary sessions are not open to the public,How can a member of the public observe or listen to parliamentary plenary sessions?
53,Web streaming,How can a member of the public observe or listen to parliamentary plenary sessions?
54,Other,Are verbatim plenary transcripts available to the public?
54,"Yes, online",Are verbatim plenary transcripts available to the public?
54,"Yes, offline",Are verbatim plenary transcripts available to the public?
54,No,Are verbatim plenary transcripts available to the public?
55,Other,Are plenary roll call voting records available to the public?
55,"Yes, online",Are plenary roll call voting records available to the public?
55,"Yes, offline",Are plenary roll call voting records available to the public?
55,No,Are plenary roll call voting records available to the public?
56,"Non-recorded votes are common, even for controversial matters",How frequently does the parliament use means other than recorded roll call votes in plenary sessions?
56,"Non-recorded votes are common for amendments, but rare for final passage",How frequently does the parliament use means other than recorded roll call votes in plenary sessions?
56,Other,How frequently does the parliament use means other than recorded roll call votes in plenary sessions?
56,Non-recorded votes are rare,How frequently does the parliament use means other than recorded roll call votes in plenary sessions?
56,"Non-recorded votes are common for uncontroversial matters, but never used on controversial matters",How frequently does the parliament use means other than recorded roll call votes in plenary sessions?
57,Yes,"If publicly available online, can one easily search or sort the plenary voting record so as to identify how a particular member has voted? If online, please provide a link."
57,Other,"If publicly available online, can one easily search or sort the plenary voting record so as to identify how a particular member has voted? If online, please provide a link."
57,No,"If publicly available online, can one easily search or sort the plenary voting record so as to identify how a particular member has voted? If online, please provide a link."
58,Other,"Upon being introduced or tabled, is the text of draft legislation immediately available to the public?"
58,"Yes, online","Upon being introduced or tabled, is the text of draft legislation immediately available to the public?"
58,"Yes, offline","Upon being introduced or tabled, is the text of draft legislation immediately available to the public?"
58,No,"Upon being introduced or tabled, is the text of draft legislation immediately available to the public?"
59,"Yes, online ","If draft legislation is made publicly available, is the status of the bill in the legislative process easily accessible?"
59,Other,"If draft legislation is made publicly available, is the status of the bill in the legislative process easily accessible?"
59,"Yes, offline ","If draft legislation is made publicly available, is the status of the bill in the legislative process easily accessible?"
59,No ,"If draft legislation is made publicly available, is the status of the bill in the legislative process easily accessible?"
60,Yes,"Does the parliament maintain a web-based, searchable database of all enacted legislation? If yes, please provide a link."
60,Other,"Does the parliament maintain a web-based, searchable database of all enacted legislation? If yes, please provide a link."
60,No,"Does the parliament maintain a web-based, searchable database of all enacted legislation? If yes, please provide a link."
61,Other,"With the exception of reports containing classified or confidential information, are all reports requested by or submitted to the parliament typically made available to the public?"
61,"Yes, online","With the exception of reports containing classified or confidential information, are all reports requested by or submitted to the parliament typically made available to the public?"
61,"Yes, offline","With the exception of reports containing classified or confidential information, are all reports requested by or submitted to the parliament typically made available to the public?"
61,No,"With the exception of reports containing classified or confidential information, are all reports requested by or submitted to the parliament typically made available to the public?"
62,Less than 24 hours,"Plenary transcripts (after plenary session) :On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
62,4 - 6 days,"Plenary transcripts (after plenary session) :On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
62,1 - 2 weeks,"Plenary transcripts (after plenary session) :On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
62,More than 2 weeks,"Plenary transcripts (after plenary session) :On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
62,1 - 3 days,"Plenary transcripts (after plenary session) :On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
62,Not available,"Plenary transcripts (after plenary session) :On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
63,Less than 24 hours,"Roll call voting record (after voting concludes):On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
63,4 - 6 days,"Roll call voting record (after voting concludes):On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
63,1 - 2 weeks,"Roll call voting record (after voting concludes):On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
63,More than 2 weeks,"Roll call voting record (after voting concludes):On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
63,1 - 3 days,"Roll call voting record (after voting concludes):On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
63,Not available,"Roll call voting record (after voting concludes):On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
64,Less than 24 hours,"Draft legislation (after legislation is introduced) :On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
64,4 - 6 days,"Draft legislation (after legislation is introduced) :On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
64,1 - 2 weeks,"Draft legislation (after legislation is introduced) :On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
64,More than 2 weeks,"Draft legislation (after legislation is introduced) :On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
64,1 - 3 days,"Draft legislation (after legislation is introduced) :On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
64,Not available,"Draft legislation (after legislation is introduced) :On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
65,Less than 24 hours,"Updates on the status of legislation (after status changes):On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
65,4 - 6 days,"Updates on the status of legislation (after status changes):On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
65,1 - 2 weeks,"Updates on the status of legislation (after status changes):On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
65,More than 2 weeks,"Updates on the status of legislation (after status changes):On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
65,1 - 3 days,"Updates on the status of legislation (after status changes):On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
65,Not available,"Updates on the status of legislation (after status changes):On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
66,Less than 24 hours,"Reports requested by or submitted to parliament (after reports are submitted):On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
66,4 - 6 days,"Reports requested by or submitted to parliament (after reports are submitted):On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
66,1 - 2 weeks,"Reports requested by or submitted to parliament (after reports are submitted):On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
66,More than 2 weeks,"Reports requested by or submitted to parliament (after reports are submitted):On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
66,1 - 3 days,"Reports requested by or submitted to parliament (after reports are submitted):On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
66,Not available,"Reports requested by or submitted to parliament (after reports are submitted):On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
67,Official bulletin or publication ,Session calendar :Through which of the following means can information about plenary activities be accessed?
67,Bulk download,Session calendar :Through which of the following means can information about plenary activities be accessed?
67,Not available,Session calendar :Through which of the following means can information about plenary activities be accessed?
67,API,Session calendar :Through which of the following means can information about plenary activities be accessed?
67,Other,Session calendar :Through which of the following means can information about plenary activities be accessed?
67,Parliamentary website ,Session calendar :Through which of the following means can information about plenary activities be accessed?
67,Mobile device,Session calendar :Through which of the following means can information about plenary activities be accessed?
68,Official bulletin or publication ,Order of business:Through which of the following means can information about plenary activities be accessed?
68,Bulk download,Order of business:Through which of the following means can information about plenary activities be accessed?
68,Not available,Order of business:Through which of the following means can information about plenary activities be accessed?
68,API,Order of business:Through which of the following means can information about plenary activities be accessed?
68,Other,Order of business:Through which of the following means can information about plenary activities be accessed?
68,Parliamentary website ,Order of business:Through which of the following means can information about plenary activities be accessed?
68,Mobile device,Order of business:Through which of the following means can information about plenary activities be accessed?
69,Official bulletin or publication ,Plenary transcripts:Through which of the following means can information about plenary activities be accessed?
69,Bulk download,Plenary transcripts:Through which of the following means can information about plenary activities be accessed?
69,Not available,Plenary transcripts:Through which of the following means can information about plenary activities be accessed?
69,API,Plenary transcripts:Through which of the following means can information about plenary activities be accessed?
69,Other,Plenary transcripts:Through which of the following means can information about plenary activities be accessed?
69,Parliamentary website ,Plenary transcripts:Through which of the following means can information about plenary activities be accessed?
69,Mobile device,Plenary transcripts:Through which of the following means can information about plenary activities be accessed?
70,Official bulletin or publication ,Roll call voting record:Through which of the following means can information about plenary activities be accessed?
70,Bulk download,Roll call voting record:Through which of the following means can information about plenary activities be accessed?
70,Not available,Roll call voting record:Through which of the following means can information about plenary activities be accessed?
70,API,Roll call voting record:Through which of the following means can information about plenary activities be accessed?
70,Other,Roll call voting record:Through which of the following means can information about plenary activities be accessed?
70,Parliamentary website ,Roll call voting record:Through which of the following means can information about plenary activities be accessed?
70,Mobile device,Roll call voting record:Through which of the following means can information about plenary activities be accessed?
71,Official bulletin or publication ,Draft legislation:Through which of the following means can information about plenary activities be accessed?
71,Bulk download,Draft legislation:Through which of the following means can information about plenary activities be accessed?
71,Not available,Draft legislation:Through which of the following means can information about plenary activities be accessed?
71,API,Draft legislation:Through which of the following means can information about plenary activities be accessed?
71,Other,Draft legislation:Through which of the following means can information about plenary activities be accessed?
71,Parliamentary website ,Draft legislation:Through which of the following means can information about plenary activities be accessed?
71,Mobile device,Draft legislation:Through which of the following means can information about plenary activities be accessed?
72,Official bulletin or publication ,Reports request by or submitted to parliament:Through which of the following means can information about plenary activities be accessed?
72,Bulk download,Reports request by or submitted to parliament:Through which of the following means can information about plenary activities be accessed?
72,Not available,Reports request by or submitted to parliament:Through which of the following means can information about plenary activities be accessed?
72,API,Reports request by or submitted to parliament:Through which of the following means can information about plenary activities be accessed?
72,Other,Reports request by or submitted to parliament:Through which of the following means can information about plenary activities be accessed?
72,Parliamentary website ,Reports request by or submitted to parliament:Through which of the following means can information about plenary activities be accessed?
72,Mobile device,Reports request by or submitted to parliament:Through which of the following means can information about plenary activities be accessed?
73,PDF,Session calendar :In which of the following formats can information about plenary activities be accessed?
73,Word document (.doc),Session calendar :In which of the following formats can information about plenary activities be accessed?
73,Not available,Session calendar :In which of the following formats can information about plenary activities be accessed?
73,Excel or CSV,Session calendar :In which of the following formats can information about plenary activities be accessed?
73,XML,Session calendar :In which of the following formats can information about plenary activities be accessed?
73,Printed copy,Session calendar :In which of the following formats can information about plenary activities be accessed?
73,Other,Session calendar :In which of the following formats can information about plenary activities be accessed?
73,HTML,Session calendar :In which of the following formats can information about plenary activities be accessed?
74,PDF,Order of business:In which of the following formats can information about plenary activities be accessed?
74,Word document (.doc),Order of business:In which of the following formats can information about plenary activities be accessed?
74,Not available,Order of business:In which of the following formats can information about plenary activities be accessed?
74,Excel or CSV,Order of business:In which of the following formats can information about plenary activities be accessed?
74,XML,Order of business:In which of the following formats can information about plenary activities be accessed?
74,Printed copy,Order of business:In which of the following formats can information about plenary activities be accessed?
74,Other,Order of business:In which of the following formats can information about plenary activities be accessed?
74,HTML,Order of business:In which of the following formats can information about plenary activities be accessed?
75,PDF,Plenary transcripts:In which of the following formats can information about plenary activities be accessed?
75,Word document (.doc),Plenary transcripts:In which of the following formats can information about plenary activities be accessed?
75,Not available,Plenary transcripts:In which of the following formats can information about plenary activities be accessed?
75,Excel or CSV,Plenary transcripts:In which of the following formats can information about plenary activities be accessed?
75,XML,Plenary transcripts:In which of the following formats can information about plenary activities be accessed?
75,Printed copy,Plenary transcripts:In which of the following formats can information about plenary activities be accessed?
75,Other,Plenary transcripts:In which of the following formats can information about plenary activities be accessed?
75,HTML,Plenary transcripts:In which of the following formats can information about plenary activities be accessed?
76,PDF,Roll call voting record:In which of the following formats can information about plenary activities be accessed?
76,Word document (.doc),Roll call voting record:In which of the following formats can information about plenary activities be accessed?
76,Not available,Roll call voting record:In which of the following formats can information about plenary activities be accessed?
76,Excel or CSV,Roll call voting record:In which of the following formats can information about plenary activities be accessed?
76,XML,Roll call voting record:In which of the following formats can information about plenary activities be accessed?
76,Printed copy,Roll call voting record:In which of the following formats can information about plenary activities be accessed?
76,Other,Roll call voting record:In which of the following formats can information about plenary activities be accessed?
76,HTML,Roll call voting record:In which of the following formats can information about plenary activities be accessed?
77,PDF,Draft legislation:In which of the following formats can information about plenary activities be accessed?
77,Word document (.doc),Draft legislation:In which of the following formats can information about plenary activities be accessed?
77,Not available,Draft legislation:In which of the following formats can information about plenary activities be accessed?
77,Excel or CSV,Draft legislation:In which of the following formats can information about plenary activities be accessed?
77,XML,Draft legislation:In which of the following formats can information about plenary activities be accessed?
77,Printed copy,Draft legislation:In which of the following formats can information about plenary activities be accessed?
77,Other,Draft legislation:In which of the following formats can information about plenary activities be accessed?
77,HTML,Draft legislation:In which of the following formats can information about plenary activities be accessed?
78,PDF,Reports request by or submitted to parliament:In which of the following formats can information about plenary activities be accessed?
78,Word document (.doc),Reports request by or submitted to parliament:In which of the following formats can information about plenary activities be accessed?
78,Not available,Reports request by or submitted to parliament:In which of the following formats can information about plenary activities be accessed?
78,Excel or CSV,Reports request by or submitted to parliament:In which of the following formats can information about plenary activities be accessed?
78,XML,Reports request by or submitted to parliament:In which of the following formats can information about plenary activities be accessed?
78,Printed copy,Reports request by or submitted to parliament:In which of the following formats can information about plenary activities be accessed?
78,Other,Reports request by or submitted to parliament:In which of the following formats can information about plenary activities be accessed?
78,HTML,Reports request by or submitted to parliament:In which of the following formats can information about plenary activities be accessed?
79,4 - 6 years,"Session calendar :If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
79,10 or more years,"Session calendar :If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
79,Not available,"Session calendar :If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
79,1 - 3 years,"Session calendar :If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
79,Less than 1 year,"Session calendar :If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
79,7 - 9 years,"Session calendar :If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
80,4 - 6 years,"Order of business:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
80,10 or more years,"Order of business:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
80,Not available,"Order of business:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
80,1 - 3 years,"Order of business:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
80,Less than 1 year,"Order of business:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
80,7 - 9 years,"Order of business:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
81,4 - 6 years,"Plenary transcripts:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
81,10 or more years,"Plenary transcripts:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
81,Not available,"Plenary transcripts:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
81,1 - 3 years,"Plenary transcripts:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
81,Less than 1 year,"Plenary transcripts:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
81,7 - 9 years,"Plenary transcripts:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
82,4 - 6 years,"Roll call voting record:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
82,10 or more years,"Roll call voting record:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
82,Not available,"Roll call voting record:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
