53,How can a member of the public observe or listen to parliamentary plenary sessions?
54,Are verbatim plenary transcripts available to the public?
55,Are plenary roll call voting records available to the public?
56,How frequently does the parliament use means other than recorded roll call votes in plenary sessions?
57,"If publicly available online, can one easily search or sort the plenary voting record so as to identify how a particular member has voted? If online, please provide a link."
58,"Upon being introduced or tabled, is the text of draft legislation immediately available to the public?"
59,"If draft legislation is made publicly available, is the status of the bill in the legislative process easily accessible?"
60,"Does the parliament maintain a web-based, searchable database of all enacted legislation? If yes, please provide a link."
61,"With the exception of reports containing classified or confidential information, are all reports requested by or submitted to the parliament typically made available to the public?"
62,"Plenary transcripts (after plenary session) :On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
63,"Roll call voting record (after voting concludes):On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
64,"Draft legislation (after legislation is introduced) :On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
65,"Updates on the status of legislation (after status changes):On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
66,"Reports requested by or submitted to parliament (after reports are submitted):On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
67,Session calendar :Through which of the following means can information about plenary activities be accessed?
68,Order of business:Through which of the following means can information about plenary activities be accessed?
69,Plenary transcripts:Through which of the following means can information about plenary activities be accessed?
70,Roll call voting record:Through which of the following means can information about plenary activities be accessed?
71,Draft legislation:Through which of the following means can information about plenary activities be accessed?
72,Reports request by or submitted to parliament:Through which of the following means can information about plenary activities be accessed?
73,Session calendar :In which of the following formats can information about plenary activities be accessed?
74,Order of business:In which of the following formats can information about plenary activities be accessed?
75,Plenary transcripts:In which of the following formats can information about plenary activities be accessed?
76,Roll call voting record:In which of the following formats can information about plenary activities be accessed?
77,Draft legislation:In which of the following formats can information about plenary activities be accessed?
78,Reports request by or submitted to parliament:In which of the following formats can information about plenary activities be accessed?
79,"Session calendar :If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
80,"Order of business:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
81,"Plenary transcripts:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
82,"Roll call voting record:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
83,"Draft legislation:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
84,"Reports request by or submitted to parliament:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
85,"To share best practices between different parliaments and countries, participants are encouraged to make note of any best or innovative practices employed by the parliament to make information about the activities of parliament available to the public. Please provide links where relevant."
86,Is a general description of committee powers and functions available to the public?
87,"If committees have their own internal rules, is information on committee rules available to the public?"
88,"In instances where committees meet in private, is the public typically informed why the meeting was held in private?"
89,What means does the parliament provide for a member of the public to observe or listen to public committee meetings?
90,Is the committee schedule available to the public?
91,"If available, how far in advance is the public notified of committee schedule?"
92,Are committee meeting agendas available to the public?
93,"If available, how far in advance is the public provided with committee meeting agendas?"
94,Are verbatim committee transcripts available to the public?
95,Is witness testimony at committee hearings available to the public?
96,Are committee voting records available to the public?
97,"With the exception of classified information, is evidence submitted to committees generally available to the public?"
98,Are committee reports available to the public?
99,Are complete versions of committee resolutions available to the public?
100,"Committee schedule (after schedule is set) :On average, how soon after a given action has taken place is the public notified and provided with the information listed below?"
101,"Committee transcripts (after transcripts are recorded) :On average, how soon after a given action has taken place is the public notified and provided with the information listed below?"
102,"Witness testimony (after testimony is submitted):On average, how soon after a given action has taken place is the public notified and provided with the information listed below?"
103,"Committee voting record (after votes are recorded):On average, how soon after a given action has taken place is the public notified and provided with the information listed below?"
104,"Evidence submitted to committee (after evidence is submitted) :On average, how soon after a given action has taken place is the public notified and provided with the information listed below?"
105,"Committee reports (after reports are submitted):On average, how soon after a given action has taken place is the public notified and provided with the information listed below?"
106,"Committee resolutions (after resolution is introduced):On average, how soon after a given action has taken place is the public notified and provided with the information listed below?"
107,Committee functions and rules:Through which of the following means can information on parliamentary committees be accessed by the public?
108,Committee schedule:Through which of the following means can information on parliamentary committees be accessed by the public?
109,Committee transcripts:Through which of the following means can information on parliamentary committees be accessed by the public?
110,Witness testimony:Through which of the following means can information on parliamentary committees be accessed by the public?
111,Committee voting records:Through which of the following means can information on parliamentary committees be accessed by the public?
112,Evidence submitted to committee :Through which of the following means can information on parliamentary committees be accessed by the public?
113,Committee reports :Through which of the following means can information on parliamentary committees be accessed by the public?
114,Committee resolutions:Through which of the following means can information on parliamentary committees be accessed by the public?
115,Committee functions and rules:In which of the following formats can information on parliamentary committees be accessed by the public?
116,Committee schedule:In which of the following formats can information on parliamentary committees be accessed by the public?
117,Committee transcripts:In which of the following formats can information on parliamentary committees be accessed by the public?
118,Witness testimony:In which of the following formats can information on parliamentary committees be accessed by the public?
119,Committee voting records:In which of the following formats can information on parliamentary committees be accessed by the public?
120,Evidence submitted to committee :In which of the following formats can information on parliamentary committees be accessed by the public?
121,Committee reports:In which of the following formats can information on parliamentary committees be accessed by the public?
122,Committee resolutions:In which of the following formats can information on parliamentary committees be accessed by the public?
123,"Committee functions and rules:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
124,"Committee schedule:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
125,"Committee transcripts:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
126,"Witness testimony:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
127,"Committee voting records:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
128,"Evidence submitted to committee:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
129,"Committee reports :If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
130,"Committee resolutions:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
131,"To share best practices between different parliaments and countries, participants are encouraged to make note of any best or innovative practices employed by the parliament to make information about committees available to the public. Please provide links where relevant."
132,Is information on members' roles and committee memberships available to the public?
133,"In countries with either single- or multi-member districts, is basic social and economic information on all districts available to the public?"
134,Is information on any party affiliation of members of parliament available to the public?
135,"Is contact information for members of parliament, including for any district and capital offices they maintain, available to the public?"
136,Is an individual member of parliament's attendance record for plenary sessions available to the public?
137,Is an individual member of parliament's attendance record for committee meetings available to the public?
138,Is information on an individual member of parliament's expenses available to the public?
139,Is there a constituency development fund that provides members of parliament with a role in allocating funds for development projects in their district?
140,"Is information on the use of constituency development funds, including the total amount allocated for the fund and how the money has been spent for each constituency, available to the public?"
141,Is there a publicly available registry that lists active lobbyists or pressure groups and that provides basic information on their activities?
142,"Are members required to disclose information on their meetings with lobbyists, including the name of the lobbyists and the issues discussed?"
143,"If members are required to disclose information on their meetings with lobbyists, is this information available to the public?"
144,Is information regarding a member of parliament's assets and interests available to the public?
145,Is information regarding a member of parliament’s involvement on corporate boards available to the public?
146,"Once completed, are the results of internal parliamentary investigations into conflicts of interest or ethics violations available to the public?"
147,Plenary attendance record:Through which of the following means can information on members of parliament be accessed by the public?
148,Committee attendance record:Through which of the following means can information on members of parliament be accessed by the public?
149,Expenses:Through which of the following means can information on members of parliament be accessed by the public?
150,Constituency development funds:Through which of the following means can information on members of parliament be accessed by the public?
151,Interactions with lobbyists and pressure groups:Through which of the following means can information on members of parliament be accessed by the public?
152,Assets and interests:Through which of the following means can information on members of parliament be accessed by the public?
153,Results of investigations :Through which of the following means can information on members of parliament be accessed by the public?
154,Plenary attendance record:Through which of the following formats can information on members of parliament be accessed by the public?
155,Committee attendance record:Through which of the following formats can information on members of parliament be accessed by the public?
156,Expenses:Through which of the following formats can information on members of parliament be accessed by the public?
157,Constituency development funds:Through which of the following formats can information on members of parliament be accessed by the public?
158,Interactions with lobbyists and pressure groups:Through which of the following formats can information on members of parliament be accessed by the public?
159,Assets and interests:Through which of the following formats can information on members of parliament be accessed by the public?
160,Results of investigations :Through which of the following formats can information on members of parliament be accessed by the public?
161,"Plenary attendance record:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below available?"
162,"Committee attendance record :If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below available?"
163,"Expenses :If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below available?"
164,"Constituency development funds:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below available?"
165,"Interactions with lobbyists and pressure groups:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below available?"
166,"Assets and interests:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below available?"
167,"Results of investigations:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below available?"
168,"To share best practices between different parliaments and countries, participants are encouraged to make note of any best or innovative practices employed by the parliament to make information about MPs or political parties available to the public. Please provide links where relevant."
169,Is the parliament's budget available to the public?
170,Is information about parliamentary expenditures available to the public?
171,Is information about parliamentary contracts available to the public?
172,Is information about bids to provide services to the parliament available to the public?
173,Is information on the roles and structure of parliament's administrative offices available to the public?
174,Is contact information for senior administrative staff available to the public?
175,"To share best practices between different parliaments and countries, participants are encouraged to make note of any best or innovative practices employed by the parliament to make information about parliament's administration and budget available to the public. Please provide links where relevant."
