question_id,option,value,question
26,Other,0,"In general, does the parliamentary website use stable URLs?"
26,No,3,"In general, does the parliamentary website use stable URLs?"
27,Simple search,2,How can an individual search for information on the parliament's website?
27,Complex search,1,How can an individual search for information on the parliament's website?
27,Other,0,How can an individual search for information on the parliament's website?
27,No search options available,3,How can an individual search for information on the parliament's website?
28,Yes,1,"To provide context to legislative information, does the parliament link information to other relevant datasets or information?"
28,Other,0,"To provide context to legislative information, does the parliament link information to other relevant datasets or information?"
28,No,3,"To provide context to legislative information, does the parliament link information to other relevant datasets or information?"
30,Yes,1,"Does the parliament maintain offices outside the capital where citizens can access accurate, up-to-date parliamentary information?"
30,Other,0,"Does the parliament maintain offices outside the capital where citizens can access accurate, up-to-date parliamentary information?"
30,No,3,"Does the parliament maintain offices outside the capital where citizens can access accurate, up-to-date parliamentary information?"
32,Other,0,"In instances where there are multiple working or national languages, does the parliament provide simultaneous interpretation of parliamentary proceedings? Please check all that apply."
32,"Yes, those observing via radio, television, internet, or other service are provided with interpretation",1,"In instances where there are multiple working or national languages, does the parliament provide simultaneous interpretation of parliamentary proceedings? Please check all that apply."
32,"Yes, in person observers at the parliament are provided with interpretation",1,"In instances where there are multiple working or national languages, does the parliament provide simultaneous interpretation of parliamentary proceedings? Please check all that apply."
32,No,3,"In instances where there are multiple working or national languages, does the parliament provide simultaneous interpretation of parliamentary proceedings? Please check all that apply."
33,Other,0,"In instances where there are multiple working or national languages, does the parliament generally make documents available in all working languages?"
33,"Yes, with minimal delays to allow for translation (typically less than 24 hours)",1,"In instances where there are multiple working or national languages, does the parliament generally make documents available in all working languages?"
33,"Yes, eventually",2,"In instances where there are multiple working or national languages, does the parliament generally make documents available in all working languages?"
33,"Yes, with all languages made available in near real time",1,"In instances where there are multiple working or national languages, does the parliament generally make documents available in all working languages?"
33,"No, records are made available only in the original language",3,"In instances where there are multiple working or national languages, does the parliament generally make documents available in all working languages?"
34,Plenary voting records,,What types of parliamentary information does the parliament make available in all official languages?
34,Election results,,What types of parliamentary information does the parliament make available in all official languages?
34,Committee transcripts ,,What types of parliamentary information does the parliament make available in all official languages?
34,Order of business,,What types of parliamentary information does the parliament make available in all official languages?
34,Committee agendas,,What types of parliamentary information does the parliament make available in all official languages?
34,Plenary transcripts,,What types of parliamentary information does the parliament make available in all official languages?
34,Session calendars,,What types of parliamentary information does the parliament make available in all official languages?
34,Draft bills,,What types of parliamentary information does the parliament make available in all official languages?
34,Other,,What types of parliamentary information does the parliament make available in all official languages?
34,Committee voting records,,What types of parliamentary information does the parliament make available in all official languages?
34,Committee membership,,What types of parliamentary information does the parliament make available in all official languages?
34,Legislation,,What types of parliamentary information does the parliament make available in all official languages?
34,None of the above,,What types of parliamentary information does the parliament make available in all official languages?
35,Parliamentary roles and functions,,Does the parliament regularly provide plain language summaries of any of the below types of information to help explain complex texts to citizens?
35,Summaries of enacted legislation,,Does the parliament regularly provide plain language summaries of any of the below types of information to help explain complex texts to citizens?
35,Parliamentary rules of procedure,,Does the parliament regularly provide plain language summaries of any of the below types of information to help explain complex texts to citizens?
35,None of the above,,Does the parliament regularly provide plain language summaries of any of the below types of information to help explain complex texts to citizens?
35,Summaries of tabled bills,,Does the parliament regularly provide plain language summaries of any of the below types of information to help explain complex texts to citizens?
35,Other,,Does the parliament regularly provide plain language summaries of any of the below types of information to help explain complex texts to citizens?
35,Committee information,,Does the parliament regularly provide plain language summaries of any of the below types of information to help explain complex texts to citizens?
35,Contextual information or reports,,Does the parliament regularly provide plain language summaries of any of the below types of information to help explain complex texts to citizens?
37,Yes,1,"Does the parliamentary website have a publicly available privacy policy that allows website users to know what personal information is being collected and how that information is being used? If yes, please provide a link."
37,Other,0,"Does the parliamentary website have a publicly available privacy policy that allows website users to know what personal information is being collected and how that information is being used? If yes, please provide a link."
37,No,3,"Does the parliamentary website have a publicly available privacy policy that allows website users to know what personal information is being collected and how that information is being used? If yes, please provide a link."
38,"Yes, using SMS or mobile technology",1,"Does parliament offer publicly available alert services to proactively inform citizens about parliamentary activities? If yes, what technologies are used?"
38,Other,0,"Does parliament offer publicly available alert services to proactively inform citizens about parliamentary activities? If yes, what technologies are used?"
38,No,3,"Does parliament offer publicly available alert services to proactively inform citizens about parliamentary activities? If yes, what technologies are used?"
38,"Yes, using email",1,"Does parliament offer publicly available alert services to proactively inform citizens about parliamentary activities? If yes, what technologies are used?"
38,"Yes, using RSS",1,"Does parliament offer publicly available alert services to proactively inform citizens about parliamentary activities? If yes, what technologies are used?"
39,RSS,1,"Plenary activity :If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
39,Other,0,"Plenary activity :If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
39,SMS or mobile technology,1,"Plenary activity :If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
39,Email,1,"Plenary activity :If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
39,Not available,3,"Plenary activity :If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
40,RSS,,"Committee activity:If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
40,Other,,"Committee activity:If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
40,SMS or mobile technology,,"Committee activity:If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
40,Email,,"Committee activity:If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
40,Not available,,"Committee activity:If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
41,RSS,,"Introduction of bills:If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
41,Other,,"Introduction of bills:If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
41,SMS or mobile technology,,"Introduction of bills:If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
41,Email,,"Introduction of bills:If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
41,Not available,,"Introduction of bills:If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
42,RSS,1,"Changes to bills:If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
42,Other,0,"Changes to bills:If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
42,SMS or mobile technology,1,"Changes to bills:If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
42,Email,1,"Changes to bills:If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
42,Not available,3,"Changes to bills:If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
43,RSS,1,"Passage of legislation:If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
43,Other,0,"Passage of legislation:If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
43,SMS or mobile technology,1,"Passage of legislation:If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
43,Email,1,"Passage of legislation:If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
43,Not available,3,"Passage of legislation:If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
44,RSS,1,"Votes:If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
44,Other,0,"Votes:If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
44,SMS or mobile technology,1,"Votes:If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
44,Email,1,"Votes:If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
44,Not available,3,"Votes:If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
46,Other,0,Is general information on the parliament's constitutional roles and functions available to the public?
46,"Yes, online",1,Is general information on the parliament's constitutional roles and functions available to the public?
46,"Yes, offline",2,Is general information on the parliament's constitutional roles and functions available to the public?
46,No,3,Is general information on the parliament's constitutional roles and functions available to the public?
47,Other,0,Is a complete version of the parliament's internal rules available to the public?
47,"Yes, online",1,Is a complete version of the parliament's internal rules available to the public?
47,"Yes, offline",2,Is a complete version of the parliament's internal rules available to the public?
47,No,3,Is a complete version of the parliament's internal rules available to the public?
48,Other,0,"Is a general, plain-language description of the parliament's structure or organization available to the public?"
48,"Yes, online",1,"Is a general, plain-language description of the parliament's structure or organization available to the public?"
48,"Yes, offline",2,"Is a general, plain-language description of the parliament's structure or organization available to the public?"
48,No,3,"Is a general, plain-language description of the parliament's structure or organization available to the public?"
49,Other,0,"Is a general, plain-language description of the parliament's legislative process available to the public?"
49,"Yes, online",1,"Is a general, plain-language description of the parliament's legislative process available to the public?"
49,"Yes, offline",2,"Is a general, plain-language description of the parliament's legislative process available to the public?"
49,No,3,"Is a general, plain-language description of the parliament's legislative process available to the public?"
50,Other,0,Is the parliament's session calendar available to the public?
50,"Yes, online",1,Is the parliament's session calendar available to the public?
50,"Yes, offline",2,Is the parliament's session calendar available to the public?
50,No,3,Is the parliament's session calendar available to the public?
51,Other,0,"Is the parliament's order of business, including its vote schedule, available to the public?"
51,"Yes, online",1,"Is the parliament's order of business, including its vote schedule, available to the public?"
51,"Yes, offline",2,"Is the parliament's order of business, including its vote schedule, available to the public?"
51,No,3,"Is the parliament's order of business, including its vote schedule, available to the public?"
52,1-3 days,2,"In general, how far in advance is the public notified of the order of business and vote schedule?"
52,4-6 days,2,"In general, how far in advance is the public notified of the order of business and vote schedule?"
52,1-2 weeks,1,"In general, how far in advance is the public notified of the order of business and vote schedule?"
52,Order of business and vote schedule are not made public,3,"In general, how far in advance is the public notified of the order of business and vote schedule?"
52,Other,0,"In general, how far in advance is the public notified of the order of business and vote schedule?"
52,Less than 24 hours,2,"In general, how far in advance is the public notified of the order of business and vote schedule?"
53,Live radio broadcast,1,How can a member of the public observe or listen to parliamentary plenary sessions?
53,In-person at the parliament,2,How can a member of the public observe or listen to parliamentary plenary sessions?
53,Live television,1,How can a member of the public observe or listen to parliamentary plenary sessions?
53,On demand archival streaming,1,How can a member of the public observe or listen to parliamentary plenary sessions?
53,Other,0,How can a member of the public observe or listen to parliamentary plenary sessions?
53,Plenary sessions are not open to the public,3,How can a member of the public observe or listen to parliamentary plenary sessions?
53,Web streaming,1,How can a member of the public observe or listen to parliamentary plenary sessions?
54,Other,0,Are verbatim plenary transcripts available to the public?
54,"Yes, online",1,Are verbatim plenary transcripts available to the public?
54,"Yes, offline",2,Are verbatim plenary transcripts available to the public?
54,No,3,Are verbatim plenary transcripts available to the public?
55,Other,0,Are plenary roll call voting records available to the public?
55,"Yes, online",1,Are plenary roll call voting records available to the public?
55,"Yes, offline",2,Are plenary roll call voting records available to the public?
55,No,3,Are plenary roll call voting records available to the public?
56,"Non-recorded votes are common, even for controversial matters",3,How frequently does the parliament use means other than recorded roll call votes in plenary sessions?
56,"Non-recorded votes are common for amendments, but rare for final passage",2,How frequently does the parliament use means other than recorded roll call votes in plenary sessions?
56,Other,0,How frequently does the parliament use means other than recorded roll call votes in plenary sessions?
56,Non-recorded votes are rare,1,How frequently does the parliament use means other than recorded roll call votes in plenary sessions?
56,"Non-recorded votes are common for uncontroversial matters, but never used on controversial matters",2,How frequently does the parliament use means other than recorded roll call votes in plenary sessions?
57,Yes,1,"If publicly available online, can one easily search or sort the plenary voting record so as to identify how a particular member has voted? If online, please provide a link."
57,Other,0,"If publicly available online, can one easily search or sort the plenary voting record so as to identify how a particular member has voted? If online, please provide a link."
57,No,3,"If publicly available online, can one easily search or sort the plenary voting record so as to identify how a particular member has voted? If online, please provide a link."
58,Other,0,"Upon being introduced or tabled, is the text of draft legislation immediately available to the public?"
58,"Yes, online",1,"Upon being introduced or tabled, is the text of draft legislation immediately available to the public?"
58,"Yes, offline",2,"Upon being introduced or tabled, is the text of draft legislation immediately available to the public?"
58,No,3,"Upon being introduced or tabled, is the text of draft legislation immediately available to the public?"
59,"Yes, online ",1,"If draft legislation is made publicly available, is the status of the bill in the legislative process easily accessible?"
59,Other,0,"If draft legislation is made publicly available, is the status of the bill in the legislative process easily accessible?"
59,"Yes, offline ",2,"If draft legislation is made publicly available, is the status of the bill in the legislative process easily accessible?"
59,No ,3,"If draft legislation is made publicly available, is the status of the bill in the legislative process easily accessible?"
60,Yes,1,"Does the parliament maintain a web-based, searchable database of all enacted legislation? If yes, please provide a link."
60,Other,0,"Does the parliament maintain a web-based, searchable database of all enacted legislation? If yes, please provide a link."
60,No,3,"Does the parliament maintain a web-based, searchable database of all enacted legislation? If yes, please provide a link."
61,Other,0,"With the exception of reports containing classified or confidential information, are all reports requested by or submitted to the parliament typically made available to the public?"
61,"Yes, online",1,"With the exception of reports containing classified or confidential information, are all reports requested by or submitted to the parliament typically made available to the public?"
61,"Yes, offline",2,"With the exception of reports containing classified or confidential information, are all reports requested by or submitted to the parliament typically made available to the public?"
61,No,3,"With the exception of reports containing classified or confidential information, are all reports requested by or submitted to the parliament typically made available to the public?"
62,Less than 24 hours,1,"Plenary transcripts (after plenary session) :On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
62,4 - 6 days,2,"Plenary transcripts (after plenary session) :On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
62,1 - 2 weeks,2,"Plenary transcripts (after plenary session) :On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
62,More than 2 weeks,3,"Plenary transcripts (after plenary session) :On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
62,1 - 3 days,2,"Plenary transcripts (after plenary session) :On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
62,Not available,3,"Plenary transcripts (after plenary session) :On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
63,Less than 24 hours,1,"Roll call voting record (after voting concludes):On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
63,4 - 6 days,2,"Roll call voting record (after voting concludes):On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
63,1 - 2 weeks,2,"Roll call voting record (after voting concludes):On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
63,More than 2 weeks,3,"Roll call voting record (after voting concludes):On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
63,1 - 3 days,2,"Roll call voting record (after voting concludes):On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
63,Not available,3,"Roll call voting record (after voting concludes):On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
64,Less than 24 hours,1,"Draft legislation (after legislation is introduced) :On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
64,4 - 6 days,2,"Draft legislation (after legislation is introduced) :On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
64,1 - 2 weeks,2,"Draft legislation (after legislation is introduced) :On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
64,More than 2 weeks,3,"Draft legislation (after legislation is introduced) :On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
64,1 - 3 days,2,"Draft legislation (after legislation is introduced) :On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
64,Not available,3,"Draft legislation (after legislation is introduced) :On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
65,Less than 24 hours,1,"Updates on the status of legislation (after status changes):On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
65,4 - 6 days,2,"Updates on the status of legislation (after status changes):On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
65,1 - 2 weeks,2,"Updates on the status of legislation (after status changes):On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
65,More than 2 weeks,3,"Updates on the status of legislation (after status changes):On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
65,1 - 3 days,2,"Updates on the status of legislation (after status changes):On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
65,Not available,3,"Updates on the status of legislation (after status changes):On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
66,Less than 24 hours,1,"Reports requested by or submitted to parliament (after reports are submitted):On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
66,4 - 6 days,2,"Reports requested by or submitted to parliament (after reports are submitted):On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
66,1 - 2 weeks,2,"Reports requested by or submitted to parliament (after reports are submitted):On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
66,More than 2 weeks,3,"Reports requested by or submitted to parliament (after reports are submitted):On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
66,1 - 3 days,2,"Reports requested by or submitted to parliament (after reports are submitted):On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
66,Not available,3,"Reports requested by or submitted to parliament (after reports are submitted):On average, how soon after a given action has taken place is the public notified and provided with the below listed information?"
67,Official bulletin or publication ,2,Session calendar :Through which of the following means can information about plenary activities be accessed?
67,Bulk download,1,Session calendar :Through which of the following means can information about plenary activities be accessed?
67,Not available,3,Session calendar :Through which of the following means can information about plenary activities be accessed?
67,API,1,Session calendar :Through which of the following means can information about plenary activities be accessed?
67,Other,0,Session calendar :Through which of the following means can information about plenary activities be accessed?
67,Parliamentary website ,2,Session calendar :Through which of the following means can information about plenary activities be accessed?
67,Mobile device,2,Session calendar :Through which of the following means can information about plenary activities be accessed?
68,Official bulletin or publication ,2,Order of business:Through which of the following means can information about plenary activities be accessed?
68,Bulk download,1,Order of business:Through which of the following means can information about plenary activities be accessed?
68,Not available,3,Order of business:Through which of the following means can information about plenary activities be accessed?
68,API,1,Order of business:Through which of the following means can information about plenary activities be accessed?
68,Other,0,Order of business:Through which of the following means can information about plenary activities be accessed?
68,Parliamentary website ,2,Order of business:Through which of the following means can information about plenary activities be accessed?
68,Mobile device,2,Order of business:Through which of the following means can information about plenary activities be accessed?
69,Official bulletin or publication ,2,Plenary transcripts:Through which of the following means can information about plenary activities be accessed?
69,Bulk download,1,Plenary transcripts:Through which of the following means can information about plenary activities be accessed?
69,Not available,3,Plenary transcripts:Through which of the following means can information about plenary activities be accessed?
69,API,1,Plenary transcripts:Through which of the following means can information about plenary activities be accessed?
69,Other,0,Plenary transcripts:Through which of the following means can information about plenary activities be accessed?
69,Parliamentary website ,2,Plenary transcripts:Through which of the following means can information about plenary activities be accessed?
69,Mobile device,2,Plenary transcripts:Through which of the following means can information about plenary activities be accessed?
70,Official bulletin or publication ,2,Roll call voting record:Through which of the following means can information about plenary activities be accessed?
70,Bulk download,1,Roll call voting record:Through which of the following means can information about plenary activities be accessed?
70,Not available,3,Roll call voting record:Through which of the following means can information about plenary activities be accessed?
70,API,1,Roll call voting record:Through which of the following means can information about plenary activities be accessed?
70,Other,0,Roll call voting record:Through which of the following means can information about plenary activities be accessed?
70,Parliamentary website ,2,Roll call voting record:Through which of the following means can information about plenary activities be accessed?
70,Mobile device,2,Roll call voting record:Through which of the following means can information about plenary activities be accessed?
71,Official bulletin or publication ,2,Draft legislation:Through which of the following means can information about plenary activities be accessed?
71,Bulk download,1,Draft legislation:Through which of the following means can information about plenary activities be accessed?
71,Not available,3,Draft legislation:Through which of the following means can information about plenary activities be accessed?
71,API,1,Draft legislation:Through which of the following means can information about plenary activities be accessed?
71,Other,0,Draft legislation:Through which of the following means can information about plenary activities be accessed?
71,Parliamentary website ,2,Draft legislation:Through which of the following means can information about plenary activities be accessed?
71,Mobile device,2,Draft legislation:Through which of the following means can information about plenary activities be accessed?
72,Official bulletin or publication ,2,Reports request by or submitted to parliament:Through which of the following means can information about plenary activities be accessed?
72,Bulk download,1,Reports request by or submitted to parliament:Through which of the following means can information about plenary activities be accessed?
72,Not available,3,Reports request by or submitted to parliament:Through which of the following means can information about plenary activities be accessed?
72,API,1,Reports request by or submitted to parliament:Through which of the following means can information about plenary activities be accessed?
72,Other,0,Reports request by or submitted to parliament:Through which of the following means can information about plenary activities be accessed?
72,Parliamentary website ,2,Reports request by or submitted to parliament:Through which of the following means can information about plenary activities be accessed?
72,Mobile device,2,Reports request by or submitted to parliament:Through which of the following means can information about plenary activities be accessed?
73,PDF,2,Session calendar :In which of the following formats can information about plenary activities be accessed?
73,Word document (.doc),2,Session calendar :In which of the following formats can information about plenary activities be accessed?
73,Not available,3,Session calendar :In which of the following formats can information about plenary activities be accessed?
73,Excel or CSV,2,Session calendar :In which of the following formats can information about plenary activities be accessed?
73,XML,1,Session calendar :In which of the following formats can information about plenary activities be accessed?
73,Printed copy,2,Session calendar :In which of the following formats can information about plenary activities be accessed?
73,Other,0,Session calendar :In which of the following formats can information about plenary activities be accessed?
73,HTML,1,Session calendar :In which of the following formats can information about plenary activities be accessed?
74,PDF,2,Order of business:In which of the following formats can information about plenary activities be accessed?
74,Word document (.doc),2,Order of business:In which of the following formats can information about plenary activities be accessed?
74,Not available,3,Order of business:In which of the following formats can information about plenary activities be accessed?
74,Excel or CSV,2,Order of business:In which of the following formats can information about plenary activities be accessed?
74,XML,1,Order of business:In which of the following formats can information about plenary activities be accessed?
74,Printed copy,2,Order of business:In which of the following formats can information about plenary activities be accessed?
74,Other,0,Order of business:In which of the following formats can information about plenary activities be accessed?
74,HTML,1,Order of business:In which of the following formats can information about plenary activities be accessed?
75,PDF,2,Plenary transcripts:In which of the following formats can information about plenary activities be accessed?
75,Word document (.doc),2,Plenary transcripts:In which of the following formats can information about plenary activities be accessed?
75,Not available,3,Plenary transcripts:In which of the following formats can information about plenary activities be accessed?
75,Excel or CSV,2,Plenary transcripts:In which of the following formats can information about plenary activities be accessed?
75,XML,1,Plenary transcripts:In which of the following formats can information about plenary activities be accessed?
75,Printed copy,2,Plenary transcripts:In which of the following formats can information about plenary activities be accessed?
75,Other,0,Plenary transcripts:In which of the following formats can information about plenary activities be accessed?
75,HTML,1,Plenary transcripts:In which of the following formats can information about plenary activities be accessed?
76,PDF,2,Roll call voting record:In which of the following formats can information about plenary activities be accessed?
76,Word document (.doc),2,Roll call voting record:In which of the following formats can information about plenary activities be accessed?
76,Not available,3,Roll call voting record:In which of the following formats can information about plenary activities be accessed?
76,Excel or CSV,2,Roll call voting record:In which of the following formats can information about plenary activities be accessed?
76,XML,1,Roll call voting record:In which of the following formats can information about plenary activities be accessed?
76,Printed copy,2,Roll call voting record:In which of the following formats can information about plenary activities be accessed?
76,Other,0,Roll call voting record:In which of the following formats can information about plenary activities be accessed?
76,HTML,1,Roll call voting record:In which of the following formats can information about plenary activities be accessed?
77,PDF,2,Draft legislation:In which of the following formats can information about plenary activities be accessed?
77,Word document (.doc),2,Draft legislation:In which of the following formats can information about plenary activities be accessed?
77,Not available,3,Draft legislation:In which of the following formats can information about plenary activities be accessed?
77,Excel or CSV,2,Draft legislation:In which of the following formats can information about plenary activities be accessed?
77,XML,1,Draft legislation:In which of the following formats can information about plenary activities be accessed?
77,Printed copy,2,Draft legislation:In which of the following formats can information about plenary activities be accessed?
77,Other,0,Draft legislation:In which of the following formats can information about plenary activities be accessed?
77,HTML,1,Draft legislation:In which of the following formats can information about plenary activities be accessed?
78,PDF,2,Reports request by or submitted to parliament:In which of the following formats can information about plenary activities be accessed?
78,Word document (.doc),2,Reports request by or submitted to parliament:In which of the following formats can information about plenary activities be accessed?
78,Not available,3,Reports request by or submitted to parliament:In which of the following formats can information about plenary activities be accessed?
78,Excel or CSV,2,Reports request by or submitted to parliament:In which of the following formats can information about plenary activities be accessed?
78,XML,1,Reports request by or submitted to parliament:In which of the following formats can information about plenary activities be accessed?
78,Printed copy,2,Reports request by or submitted to parliament:In which of the following formats can information about plenary activities be accessed?
78,Other,0,Reports request by or submitted to parliament:In which of the following formats can information about plenary activities be accessed?
78,HTML,1,Reports request by or submitted to parliament:In which of the following formats can information about plenary activities be accessed?
79,4 - 6 years,2,"Session calendar :If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
79,10 or more years,1,"Session calendar :If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
79,Not available,3,"Session calendar :If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
79,1 - 3 years,2,"Session calendar :If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
79,Less than 1 year,2,"Session calendar :If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
79,7 - 9 years,1,"Session calendar :If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
80,4 - 6 years,2,"Order of business:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
80,10 or more years,1,"Order of business:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
80,Not available,3,"Order of business:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
